"dataset_id","dataset_label","provider_ddb_id","provider_id","provider_name","provider_state","provider_sector","supplier_ddb_id","supplier_id","supplier_name","aggregator_ddb_id","aggregator_id","aggregator_name","count","ingest_id","metadata_format","ingest_complete_date"
"8277bad4a6782f6585912660b1f27aa16f767138","00000896_00000902_findbuch","XYMQPA4OHAYDDFYWHV6Q4RFUIISTLQJV","'00000896","Landesarchiv Baden-Württemberg","Baden-Württemberg","Archiv","XYMQPA4OHAYDDFYWHV6Q4RFUIISTLQJV","'00000896","Landesarchiv Baden-Württemberg","","","","1352880","8277bad4a6782f6585912660b1f27aa16f767138","urn:isbn:1-931666-22-9","2018-04-25T11:21:31+0200"
"0c4e89f8aa9c582ac347ca57972fe4ea1bfbac42","00000923_findbuch","4GASVTWJRDMLSBYBFXCXK3AIBNK6YIAQ","'00000923","Landesarchiv Sachsen-Anhalt","Sachsen-Anhalt","Archiv","4GASVTWJRDMLSBYBFXCXK3AIBNK6YIAQ","'00000923","Landesarchiv Sachsen-Anhalt","","","","1135133","0c4e89f8aa9c582ac347ca57972fe4ea1bfbac42","urn:isbn:1-931666-22-9","2018-04-18T10:53:51+0200"
"f1f18c0d8a5040fb5b650f337bc69fdfedaf142a","99900890_1351117393","265BI7NE7QBS4NQMZCCGIVLFR73OCOSL","'00014072","Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden","Sachsen","Bibliothek","CJY7MSLPOPB7FTPC7JM5K2GGM5PBGLYI","'99900890","Deutsche Fotothek","","","","1126693","f1f18c0d8a5040fb5b650f337bc69fdfedaf142a","http://www.europeana.eu/schemas/ese/","2018-04-12T02:05:27+0200"
"f1f18c0d8a5040fb5b650f337bc69fdfedaf142a","99900890_1351117393","CJY7MSLPOPB7FTPC7JM5K2GGM5PBGLYI","'99900890","Deutsche Fotothek","Sachsen","Mediathek","CJY7MSLPOPB7FTPC7JM5K2GGM5PBGLYI","'99900890","Deutsche Fotothek","","","","1126693","f1f18c0d8a5040fb5b650f337bc69fdfedaf142a","http://www.europeana.eu/schemas/ese/","2018-04-12T02:05:27+0200"
"85cc11eb483da320d9f6284455792f1f4ddd4288","00005860_20160303","PE423JPDSCU6C72BAC2PUBOHAINDRGFO","'00005860","Bayerische Staatsbibliothek","Bayern","Bibliothek","PE423JPDSCU6C72BAC2PUBOHAINDRGFO","'00005860","Bayerische Staatsbibliothek","","","","1123187","85cc11eb483da320d9f6284455792f1f4ddd4288","http://www.loc.gov/MARC21/slim/","2018-04-13T18:37:28+0200"
"522651690d41de8f9ad1a65e4f28da8419b3c8e6","00000390_findbuch4","VSHJWG7QLS7Y3NS2HKE43E5Q5NJ7OCLS","'00000390","Bundesarchiv","Rheinland-Pfalz","Archiv","VSHJWG7QLS7Y3NS2HKE43E5Q5NJ7OCLS","'00000390","Bundesarchiv","","","","1032061","522651690d41de8f9ad1a65e4f28da8419b3c8e6","urn:isbn:1-931666-22-9","2018-04-20T15:46:49+0200"
"3b3508e8d47a2a963dcfa6241d8c44d2bd8ff512","00000390_findbuch2","VSHJWG7QLS7Y3NS2HKE43E5Q5NJ7OCLS","'00000390","Bundesarchiv","Rheinland-Pfalz","Archiv","VSHJWG7QLS7Y3NS2HKE43E5Q5NJ7OCLS","'00000390","Bundesarchiv","","","","967481","3b3508e8d47a2a963dcfa6241d8c44d2bd8ff512","urn:isbn:1-931666-22-9","2018-04-19T23:09:15+0200"
"2952b2fb48894337e527e8f1e21e180ccf491db4","00000896_00000900_findbuch","XYMQPA4OHAYDDFYWHV6Q4RFUIISTLQJV","'00000896","Landesarchiv Baden-Württemberg","Baden-Württemberg","Archiv","XYMQPA4OHAYDDFYWHV6Q4RFUIISTLQJV","'00000896","Landesarchiv Baden-Württemberg","","","","932467","2952b2fb48894337e527e8f1e21e180ccf491db4","urn:isbn:1-931666-22-9","2018-04-26T08:56:08+0200"
"aba7e14da4d87533886b40d80a7f7291b42fc5f7","00000896_00000899_findbuch","XYMQPA4OHAYDDFYWHV6Q4RFUIISTLQJV","'00000896","Landesarchiv Baden-Württemberg","Baden-Württemberg","Archiv","XYMQPA4OHAYDDFYWHV6Q4RFUIISTLQJV","'00000896","Landesarchiv Baden-Württemberg","","","","727061","aba7e14da4d87533886b40d80a7f7291b42fc5f7","urn:isbn:1-931666-22-9","2018-04-26T11:41:45+0200"
"36cf58635c0673d91d2865a762159a6d93f04619","00000896_00000905_findbuch","XYMQPA4OHAYDDFYWHV6Q4RFUIISTLQJV","'00000896","Landesarchiv Baden-Württemberg","Baden-Württemberg","Archiv","XYMQPA4OHAYDDFYWHV6Q4RFUIISTLQJV","'00000896","Landesarchiv Baden-Württemberg","","","","696954","36cf58635c0673d91d2865a762159a6d93f04619","urn:isbn:1-931666-22-9","2018-04-26T15:12:09+0200"
"7c362c69a0e94bb0821726aece0ced746aa495b2","00012008_TOC_2","2Q37XY5KXJNJE5MV6SWP3UKKZ6RSBLK5","'00012008","Deutsche Nationalbibliothek","Hessen","Bibliothek","2Q37XY5KXJNJE5MV6SWP3UKKZ6RSBLK5","'00012008","Deutsche Nationalbibliothek","","","","634157","7c362c69a0e94bb0821726aece0ced746aa495b2","http://www.loc.gov/MARC21/slim/","2018-04-12T16:26:02+0200"
"27d4acfe3328c047c6ae8544bc175f878ccdfe53","00000390_findbuch3","VSHJWG7QLS7Y3NS2HKE43E5Q5NJ7OCLS","'00000390","Bundesarchiv","Rheinland-Pfalz","Archiv","VSHJWG7QLS7Y3NS2HKE43E5Q5NJ7OCLS","'00000390","Bundesarchiv","","","","631907","27d4acfe3328c047c6ae8544bc175f878ccdfe53","urn:isbn:1-931666-22-9","2018-04-20T17:45:42+0200"
"119eb1493a3a16cb9a921d1001f962ca6f1daee9","oid1444921227476_full_20170915","FKBVHZEFB6RYNEMU3RNQGTMCFOSV7463","'oid1444921227476","Stiftung Deutsches Historisches Museum","Berlin","Museum","FKBVHZEFB6RYNEMU3RNQGTMCFOSV7463","'oid1444921227476","Stiftung Deutsches Historisches Museum","","","","628122","119eb1493a3a16cb9a921d1001f962ca6f1daee9","http://www.lido-schema.org/","2018-04-14T21:41:22+0200"
"4d0e2f53b4c81c7dacf7962b3cff5155050d5c05","00012008_TOC_1","2Q37XY5KXJNJE5MV6SWP3UKKZ6RSBLK5","'00012008","Deutsche Nationalbibliothek","Hessen","Bibliothek","2Q37XY5KXJNJE5MV6SWP3UKKZ6RSBLK5","'00012008","Deutsche Nationalbibliothek","","","","538655","4d0e2f53b4c81c7dacf7962b3cff5155050d5c05","http://www.loc.gov/MARC21/slim/","2018-04-12T17:55:19+0200"
"2db551a23f79bbf6c4591d5f82fcb98236260daf","00000896_00000903_findbuch","XYMQPA4OHAYDDFYWHV6Q4RFUIISTLQJV","'00000896","Landesarchiv Baden-Württemberg","Baden-Württemberg","Archiv","XYMQPA4OHAYDDFYWHV6Q4RFUIISTLQJV","'00000896","Landesarchiv Baden-Württemberg","","","","470318","2db551a23f79bbf6c4591d5f82fcb98236260daf","urn:isbn:1-931666-22-9","2018-04-26T17:15:29+0200"
"28f9aac5f7a269bf8c5e3af1694c7267915d7a4a","00014072_200000201","265BI7NE7QBS4NQMZCCGIVLFR73OCOSL","'00014072","Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden","Sachsen","Bibliothek","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","431933","28f9aac5f7a269bf8c5e3af1694c7267915d7a4a","http://www.loc.gov/METS/","2018-04-27T09:10:44+0200"
"d51bf97328cd1caae8986ed62893a9f5458e369e","00012417_200000202","JYK3LT7TXBO32BIOFZZM5VWGEFPOFYK6","'00012417","Niedersächsische Staats- und Universitätsbibliothek Göttingen","Niedersachsen","Bibliothek","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","431430","d51bf97328cd1caae8986ed62893a9f5458e369e","http://www.loc.gov/METS/","2018-04-28T12:48:46+0200"
"d51bf97328cd1caae8986ed62893a9f5458e369e","00012417_200000202","X5L26OPZUGHRAXCAENZ4YSIABDSQBDCG","'00006818","Georg-August-Universität Göttingen","Niedersachsen","Forschung","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","431430","d51bf97328cd1caae8986ed62893a9f5458e369e","http://www.loc.gov/METS/","2018-04-28T12:48:46+0200"
"d51bf97328cd1caae8986ed62893a9f5458e369e","00012417_200000202","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","Niedersachsen","Bibliothek","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","431430","d51bf97328cd1caae8986ed62893a9f5458e369e","http://www.loc.gov/METS/","2018-04-28T12:48:46+0200"
